X,CH1,CH2
-5.12E-01,-2.00E-02,-4.40E-01
-5.10E-01,-6.00E-02,-5.20E-01
-5.08E-01,-4.00E-02,-4.80E-01
-5.06E-01,-1.00E-01,-6.00E-01
-5.04E-01,-1.00E-01,-5.60E-01
-5.02E-01,-1.20E-01,-6.00E-01
-5.00E-01,-1.20E-01,-6.00E-01
-4.98E-01,-1.80E-01,-6.40E-01
-4.96E-01,-1.40E-01,-6.40E-01
-4.94E-01,-2.00E-01,-6.80E-01
-4.92E-01,-2.00E-01,-6.40E-01
-4.90E-01,-2.40E-01,-7.20E-01
-4.88E-01,-2.20E-01,-7.20E-01
-4.86E-01,-2.80E-01,-8.00E-01
-4.84E-01,-2.60E-01,-7.60E-01
-4.82E-01,-3.00E-01,-8.40E-01
-4.80E-01,-2.80E-01,-8.00E-01
-4.78E-01,-2.60E-01,-7.20E-01
-4.76E-01,-2.60E-01,-7.60E-01
-4.74E-01,-2.20E-01,-6.80E-01
-4.72E-01,-2.20E-01,-7.20E-01
-4.70E-01,-1.80E-01,-6.40E-01
-4.68E-01,-1.80E-01,-6.80E-01
-4.66E-01,-1.40E-01,-6.00E-01
-4.64E-01,-1.40E-01,-6.40E-01
-4.62E-01,-1.00E-01,-5.60E-01
-4.60E-01,-1.20E-01,-6.00E-01
-4.58E-01,-6.00E-02,-5.20E-01
-4.56E-01,-8.00E-02,-5.60E-01
-4.54E-01,-2.00E-02,-4.80E-01
-4.52E-01,-4.00E-02,-4.40E-01
-4.50E-01,2.00E-02,-4.80E-01
-4.48E-01,0.00E+00,-4.80E-01
-4.46E-01,4.00E-02,-3.60E-01
-4.44E-01,4.00E-02,-4.00E-01
-4.42E-01,6.00E-02,-3.20E-01
-4.40E-01,6.00E-02,-3.60E-01
-4.38E-01,1.20E-01,-2.80E-01
-4.36E-01,1.00E-01,-3.20E-01
-4.34E-01,1.60E-01,-2.40E-01
-4.32E-01,1.40E-01,-2.80E-01
-4.30E-01,1.80E-01,-2.00E-01
-4.28E-01,1.80E-01,-2.40E-01
-4.26E-01,2.20E-01,-1.60E-01
-4.24E-01,2.00E-01,-2.00E-01
-4.22E-01,2.60E-01,-1.20E-01
-4.20E-01,2.40E-01,-1.60E-01
-4.18E-01,2.80E-01,-4.00E-02
-4.16E-01,2.80E-01,-1.20E-01
-4.14E-01,3.00E-01,-4.00E-02
-4.12E-01,3.00E-01,-4.00E-02
-4.10E-01,3.60E-01,0.00E+00
-4.08E-01,3.60E-01,-4.00E-02
-4.06E-01,3.80E-01,4.00E-02
-4.04E-01,3.80E-01,4.00E-02
-4.02E-01,4.20E-01,8.00E-02
-4.00E-01,4.20E-01,8.00E-02
-3.98E-01,4.60E-01,1.60E-01
-3.96E-01,4.60E-01,1.20E-01
-3.94E-01,5.00E-01,2.00E-01
-3.92E-01,5.00E-01,1.60E-01
-3.90E-01,5.40E-01,2.40E-01
-3.88E-01,5.20E-01,2.00E-01
-3.86E-01,5.80E-01,2.80E-01
-3.84E-01,5.60E-01,2.40E-01
-3.82E-01,6.20E-01,3.20E-01
-3.80E-01,6.00E-01,3.20E-01
-3.78E-01,6.40E-01,3.60E-01
-3.76E-01,6.20E-01,3.20E-01
-3.74E-01,6.80E-01,4.40E-01
-3.72E-01,6.60E-01,4.00E-01
-3.70E-01,7.20E-01,4.80E-01
-3.68E-01,7.00E-01,4.40E-01
-3.66E-01,7.40E-01,5.20E-01
-3.64E-01,7.40E-01,4.80E-01
-3.62E-01,7.80E-01,5.60E-01
-3.60E-01,7.60E-01,5.20E-01
-3.58E-01,8.40E-01,6.00E-01
-3.56E-01,8.20E-01,5.60E-01
-3.54E-01,8.80E-01,6.40E-01
-3.52E-01,8.60E-01,6.00E-01
-3.50E-01,9.00E-01,6.80E-01
-3.48E-01,8.80E-01,6.40E-01
-3.46E-01,9.40E-01,7.20E-01
-3.44E-01,9.40E-01,6.80E-01
-3.42E-01,9.60E-01,8.00E-01
-3.40E-01,9.60E-01,7.60E-01
-3.38E-01,1.02E+00,8.00E-01
-3.36E-01,1.00E+00,8.00E-01
-3.34E-01,1.04E+00,8.80E-01
-3.32E-01,1.02E+00,8.40E-01
-3.30E-01,1.08E+00,9.20E-01
-3.28E-01,1.08E+00,8.80E-01
-3.26E-01,1.10E+00,9.60E-01
-3.24E-01,1.08E+00,9.60E-01
-3.22E-01,1.14E+00,1.00E+00
-3.20E-01,1.14E+00,9.60E-01
-3.18E-01,1.16E+00,1.04E+00
-3.16E-01,1.16E+00,1.04E+00
-3.14E-01,1.20E+00,1.12E+00
-3.12E-01,1.20E+00,1.08E+00
-3.10E-01,1.26E+00,1.16E+00
-3.08E-01,1.22E+00,1.12E+00
-3.06E-01,1.28E+00,1.20E+00
-3.04E-01,1.26E+00,1.12E+00
-3.02E-01,1.30E+00,1.24E+00
-3.00E-01,1.28E+00,1.20E+00
-2.98E-01,1.34E+00,1.28E+00
-2.96E-01,1.34E+00,1.24E+00
-2.94E-01,1.36E+00,1.32E+00
-2.92E-01,1.36E+00,1.28E+00
-2.90E-01,1.40E+00,1.36E+00
-2.88E-01,1.40E+00,1.32E+00
-2.86E-01,1.44E+00,1.40E+00
-2.84E-01,1.44E+00,1.40E+00
-2.82E-01,1.42E+00,1.48E+00
-2.80E-01,1.44E+00,1.44E+00
-2.78E-01,1.50E+00,1.52E+00
-2.76E-01,1.46E+00,1.44E+00
-2.74E-01,1.50E+00,1.56E+00
-2.72E-01,1.50E+00,1.52E+00
-2.70E-01,1.56E+00,1.60E+00
-2.68E-01,1.52E+00,1.60E+00
-2.66E-01,1.54E+00,1.68E+00
-2.64E-01,1.52E+00,1.64E+00
-2.62E-01,1.60E+00,1.68E+00
-2.60E-01,1.60E+00,1.68E+00
-2.58E-01,1.54E+00,1.76E+00
-2.56E-01,1.56E+00,1.76E+00
-2.54E-01,1.64E+00,1.80E+00
-2.52E-01,1.64E+00,1.80E+00
-2.50E-01,1.56E+00,1.92E+00
-2.48E-01,1.56E+00,1.92E+00
-2.46E-01,1.66E+00,1.92E+00
-2.44E-01,1.66E+00,1.88E+00
-2.42E-01,1.56E+00,2.04E+00
-2.40E-01,1.56E+00,2.00E+00
-2.38E-01,1.66E+00,2.04E+00
-2.36E-01,1.66E+00,2.04E+00
-2.34E-01,1.56E+00,2.16E+00
-2.32E-01,1.56E+00,2.12E+00
-2.30E-01,1.66E+00,2.20E+00
-2.28E-01,1.68E+00,2.16E+00
-2.26E-01,1.58E+00,2.24E+00
-2.24E-01,1.56E+00,2.24E+00
-2.22E-01,1.66E+00,2.32E+00
-2.20E-01,1.68E+00,2.28E+00
-2.18E-01,1.58E+00,2.36E+00
-2.16E-01,1.56E+00,2.36E+00
-2.14E-01,1.64E+00,2.40E+00
-2.12E-01,1.68E+00,2.36E+00
-2.10E-01,1.60E+00,2.48E+00
-2.08E-01,1.58E+00,2.48E+00
-2.06E-01,1.64E+00,2.52E+00
-2.04E-01,1.68E+00,2.48E+00
-2.02E-01,1.62E+00,2.56E+00
-2.00E-01,1.56E+00,2.56E+00
-1.98E-01,1.64E+00,2.68E+00
-1.96E-01,1.62E+00,2.60E+00
-1.94E-01,1.68E+00,2.72E+00
-1.92E-01,1.64E+00,2.68E+00
-1.90E-01,1.56E+00,2.80E+00
-1.88E-01,1.62E+00,2.76E+00
-1.86E-01,1.68E+00,2.80E+00
-1.84E-01,1.66E+00,2.80E+00
-1.82E-01,1.58E+00,2.92E+00
-1.80E-01,1.60E+00,2.88E+00
-1.78E-01,1.70E+00,2.96E+00
-1.76E-01,1.66E+00,2.96E+00
-1.74E-01,1.58E+00,3.04E+00
-1.72E-01,1.60E+00,3.00E+00
-1.70E-01,1.70E+00,3.08E+00
-1.68E-01,1.68E+00,3.08E+00
-1.66E-01,1.58E+00,3.16E+00
-1.64E-01,1.60E+00,3.16E+00
-1.62E-01,1.72E+00,3.20E+00
-1.60E-01,1.68E+00,3.16E+00
-1.58E-01,1.58E+00,3.32E+00
-1.56E-01,1.60E+00,3.28E+00
-1.54E-01,1.70E+00,3.32E+00
-1.52E-01,1.70E+00,3.28E+00
-1.50E-01,1.60E+00,3.40E+00
-1.48E-01,1.60E+00,3.40E+00
-1.46E-01,1.72E+00,3.48E+00
-1.44E-01,1.70E+00,3.44E+00
-1.42E-01,1.60E+00,3.56E+00
-1.40E-01,1.60E+00,3.52E+00
-1.38E-01,1.70E+00,3.60E+00
-1.36E-01,1.72E+00,3.56E+00
-1.34E-01,1.60E+00,3.68E+00
-1.32E-01,1.60E+00,3.64E+00
-1.30E-01,1.70E+00,3.72E+00
-1.28E-01,1.72E+00,3.64E+00
-1.26E-01,1.62E+00,3.80E+00
-1.24E-01,1.60E+00,3.80E+00
-1.22E-01,1.70E+00,3.84E+00
-1.20E-01,1.72E+00,3.80E+00
-1.18E-01,1.64E+00,3.92E+00
-1.16E-01,1.60E+00,3.88E+00
-1.14E-01,1.68E+00,3.96E+00
-1.12E-01,1.74E+00,3.92E+00
-1.10E-01,1.66E+00,4.04E+00
-1.08E-01,1.62E+00,4.00E+00
-1.06E-01,1.68E+00,4.08E+00
-1.04E-01,1.68E+00,4.04E+00
-1.02E-01,1.74E+00,4.16E+00
-1.00E-01,1.68E+00,4.12E+00
-9.80E-02,1.64E+00,4.24E+00
-9.60E-02,1.68E+00,4.16E+00
-9.40E-02,1.74E+00,4.24E+00
-9.20E-02,1.70E+00,4.24E+00
-9.00E-02,1.64E+00,4.36E+00
-8.80E-02,1.68E+00,4.28E+00
-8.60E-02,1.76E+00,4.40E+00
-8.40E-02,1.72E+00,4.36E+00
-8.20E-02,1.64E+00,4.48E+00
-8.00E-02,1.66E+00,4.44E+00
-7.80E-02,1.76E+00,4.48E+00
-7.60E-02,1.74E+00,4.48E+00
-7.40E-02,1.64E+00,4.60E+00
-7.20E-02,1.66E+00,4.60E+00
-7.00E-02,1.76E+00,4.56E+00
-6.80E-02,1.76E+00,4.60E+00
-6.60E-02,1.66E+00,4.76E+00
-6.40E-02,1.66E+00,4.72E+00
-6.20E-02,1.76E+00,4.76E+00
-6.00E-02,1.76E+00,4.76E+00
-5.80E-02,1.66E+00,4.84E+00
-5.60E-02,1.66E+00,4.88E+00
-5.40E-02,1.76E+00,4.84E+00
-5.20E-02,1.78E+00,4.88E+00
-5.00E-02,1.68E+00,5.00E+00
-4.80E-02,1.68E+00,4.92E+00
-4.60E-02,1.78E+00,5.00E+00
-4.40E-02,1.80E+00,4.96E+00
-4.20E-02,1.68E+00,5.12E+00
-4.00E-02,1.68E+00,5.08E+00
-3.80E-02,1.80E+00,5.12E+00
-3.60E-02,1.80E+00,5.08E+00
-3.40E-02,1.70E+00,5.20E+00
-3.20E-02,1.68E+00,5.20E+00
-3.00E-02,1.78E+00,5.24E+00
-2.80E-02,1.82E+00,5.20E+00
-2.60E-02,1.72E+00,5.32E+00
-2.40E-02,1.70E+00,5.32E+00
-2.20E-02,1.80E+00,5.36E+00
-2.00E-02,1.82E+00,5.32E+00
-1.80E-02,1.76E+00,5.44E+00
-1.60E-02,1.72E+00,5.44E+00
-1.40E-02,1.78E+00,5.52E+00
-1.20E-02,1.82E+00,5.44E+00
-1.00E-02,1.76E+00,5.56E+00
-8.00E-03,1.72E+00,5.56E+00
-6.00E-03,1.80E+00,5.64E+00
-4.00E-03,1.80E+00,5.56E+00
-2.00E-03,1.84E+00,5.68E+00
1.04E-09,1.78E+00,5.68E+00
2.00E-03,1.74E+00,5.76E+00
4.00E-03,1.80E+00,5.72E+00
6.00E-03,1.84E+00,5.80E+00
8.00E-03,1.82E+00,5.76E+00
1.00E-02,1.74E+00,5.88E+00
1.20E-02,1.80E+00,5.84E+00
1.40E-02,1.86E+00,5.88E+00
1.60E-02,1.84E+00,5.88E+00
1.80E-02,1.76E+00,6.00E+00
2.00E-02,1.76E+00,6.00E+00
2.20E-02,1.86E+00,5.88E+00
2.40E-02,1.84E+00,5.92E+00
2.60E-02,1.76E+00,5.84E+00
2.80E-02,1.76E+00,5.88E+00
3.00E-02,1.84E+00,5.76E+00
3.20E-02,1.84E+00,5.76E+00
3.40E-02,1.74E+00,5.76E+00
3.60E-02,1.76E+00,5.72E+00
3.80E-02,1.84E+00,5.64E+00
4.00E-02,1.84E+00,5.64E+00
4.20E-02,1.72E+00,5.64E+00
4.40E-02,1.74E+00,5.64E+00
4.60E-02,1.82E+00,5.48E+00
4.80E-02,1.84E+00,5.52E+00
5.00E-02,1.72E+00,5.48E+00
5.20E-02,1.72E+00,5.52E+00
5.40E-02,1.82E+00,5.40E+00
5.60E-02,1.82E+00,5.36E+00
5.80E-02,1.72E+00,5.40E+00
6.00E-02,1.72E+00,5.40E+00
6.20E-02,1.80E+00,5.28E+00
6.40E-02,1.82E+00,5.28E+00
6.60E-02,1.72E+00,5.20E+00
6.80E-02,1.68E+00,5.28E+00
7.00E-02,1.80E+00,5.16E+00
7.20E-02,1.80E+00,5.16E+00
7.40E-02,1.72E+00,5.08E+00
7.60E-02,1.68E+00,5.12E+00
7.80E-02,1.76E+00,5.04E+00
8.00E-02,1.80E+00,5.04E+00
8.20E-02,1.74E+00,4.96E+00
8.40E-02,1.74E+00,5.00E+00
8.60E-02,1.68E+00,4.92E+00
8.80E-02,1.74E+00,4.92E+00
9.00E-02,1.80E+00,4.84E+00
9.20E-02,1.72E+00,4.88E+00
9.40E-02,1.68E+00,4.80E+00
9.60E-02,1.78E+00,4.80E+00
9.80E-02,1.72E+00,4.72E+00
1.00E-01,1.74E+00,4.76E+00
1.02E-01,1.68E+00,4.72E+00
1.04E-01,1.72E+00,4.68E+00
1.06E-01,1.78E+00,4.60E+00
1.08E-01,1.76E+00,4.64E+00
1.10E-01,1.66E+00,4.56E+00
1.12E-01,1.68E+00,4.60E+00
1.14E-01,1.76E+00,4.44E+00
1.16E-01,1.74E+00,4.44E+00
1.18E-01,1.66E+00,4.52E+00
1.20E-01,1.68E+00,4.48E+00
1.22E-01,1.76E+00,4.36E+00
1.24E-01,1.76E+00,4.40E+00
1.26E-01,1.66E+00,4.32E+00
1.28E-01,1.66E+00,4.36E+00
1.30E-01,1.76E+00,4.20E+00
1.32E-01,1.76E+00,4.24E+00
1.34E-01,1.64E+00,4.20E+00
1.36E-01,1.64E+00,4.24E+00
1.38E-01,1.76E+00,4.08E+00
1.40E-01,1.74E+00,4.08E+00
1.42E-01,1.64E+00,4.12E+00
1.44E-01,1.62E+00,4.12E+00
1.46E-01,1.74E+00,3.96E+00
1.48E-01,1.74E+00,3.96E+00
1.50E-01,1.62E+00,4.00E+00
1.52E-01,1.62E+00,4.00E+00
1.54E-01,1.72E+00,3.84E+00
1.56E-01,1.74E+00,3.80E+00
1.58E-01,1.64E+00,3.88E+00
1.60E-01,1.62E+00,3.84E+00
1.62E-01,1.72E+00,3.72E+00
1.64E-01,1.72E+00,3.76E+00
1.66E-01,1.64E+00,3.68E+00
1.68E-01,1.60E+00,3.72E+00
1.70E-01,1.70E+00,3.60E+00
1.72E-01,1.72E+00,3.64E+00
1.74E-01,1.66E+00,3.56E+00
1.76E-01,1.60E+00,3.60E+00
1.78E-01,1.68E+00,3.48E+00
1.80E-01,1.72E+00,3.48E+00
1.82E-01,1.64E+00,3.44E+00
1.84E-01,1.60E+00,3.48E+00
1.86E-01,1.66E+00,3.40E+00
1.88E-01,1.66E+00,3.36E+00
1.90E-01,1.72E+00,3.28E+00
1.92E-01,1.66E+00,3.36E+00
1.94E-01,1.60E+00,3.28E+00
1.96E-01,1.66E+00,3.24E+00
1.98E-01,1.72E+00,3.16E+00
2.00E-01,1.66E+00,3.20E+00
2.02E-01,1.58E+00,3.16E+00
2.04E-01,1.62E+00,3.16E+00
2.06E-01,1.70E+00,3.04E+00
2.08E-01,1.68E+00,3.08E+00
2.10E-01,1.60E+00,3.00E+00
2.12E-01,1.60E+00,3.04E+00
2.14E-01,1.68E+00,2.92E+00
2.16E-01,1.68E+00,2.96E+00
2.18E-01,1.58E+00,2.88E+00
2.20E-01,1.58E+00,2.92E+00
2.22E-01,1.70E+00,2.76E+00
2.24E-01,1.68E+00,2.84E+00
2.26E-01,1.58E+00,2.76E+00
2.28E-01,1.58E+00,2.80E+00
2.30E-01,1.68E+00,2.68E+00
2.32E-01,1.68E+00,2.64E+00
2.34E-01,1.56E+00,2.72E+00
2.36E-01,1.58E+00,2.68E+00
2.38E-01,1.68E+00,2.52E+00
2.40E-01,1.68E+00,2.56E+00
2.42E-01,1.56E+00,2.52E+00
2.44E-01,1.56E+00,2.56E+00
2.46E-01,1.68E+00,2.44E+00
2.48E-01,1.68E+00,2.44E+00
2.50E-01,1.58E+00,2.36E+00
2.52E-01,1.56E+00,2.44E+00
2.54E-01,1.66E+00,2.32E+00
2.56E-01,1.68E+00,2.32E+00
2.58E-01,1.58E+00,2.28E+00
2.60E-01,1.56E+00,2.32E+00
2.62E-01,1.64E+00,2.24E+00
2.64E-01,1.68E+00,2.24E+00
2.66E-01,1.60E+00,2.16E+00
2.68E-01,1.56E+00,2.20E+00
2.70E-01,1.64E+00,2.08E+00
2.72E-01,1.66E+00,2.12E+00
2.74E-01,1.60E+00,2.04E+00
2.76E-01,1.54E+00,2.08E+00
2.78E-01,1.60E+00,2.00E+00
2.80E-01,1.60E+00,2.00E+00
2.82E-01,1.66E+00,1.92E+00
2.84E-01,1.60E+00,1.96E+00
2.86E-01,1.54E+00,1.88E+00
2.88E-01,1.60E+00,1.88E+00
2.90E-01,1.64E+00,1.76E+00
2.92E-01,1.60E+00,1.84E+00
2.94E-01,1.54E+00,1.76E+00
2.96E-01,1.60E+00,1.76E+00
2.98E-01,1.56E+00,1.68E+00
3.00E-01,1.58E+00,1.72E+00
3.02E-01,1.52E+00,1.64E+00
3.04E-01,1.52E+00,1.64E+00
3.06E-01,1.56E+00,1.56E+00
3.08E-01,1.52E+00,1.60E+00
3.10E-01,1.48E+00,1.56E+00
3.12E-01,1.48E+00,1.56E+00
3.14E-01,1.50E+00,1.48E+00
3.16E-01,1.48E+00,1.52E+00
3.18E-01,1.44E+00,1.44E+00
3.20E-01,1.44E+00,1.44E+00
3.22E-01,1.42E+00,1.40E+00
3.24E-01,1.44E+00,1.40E+00
3.26E-01,1.38E+00,1.32E+00
3.28E-01,1.36E+00,1.36E+00
3.30E-01,1.40E+00,1.28E+00
3.32E-01,1.36E+00,1.32E+00
3.34E-01,1.32E+00,1.24E+00
3.36E-01,1.32E+00,1.28E+00
3.38E-01,1.28E+00,1.20E+00
3.40E-01,1.32E+00,1.24E+00
3.42E-01,1.26E+00,1.16E+00
3.44E-01,1.28E+00,1.20E+00
3.46E-01,1.24E+00,1.12E+00
3.48E-01,1.26E+00,1.12E+00
3.50E-01,1.20E+00,1.08E+00
3.52E-01,1.20E+00,1.08E+00
3.54E-01,1.18E+00,1.00E+00
3.56E-01,1.18E+00,1.04E+00
3.58E-01,1.12E+00,9.60E-01
3.60E-01,1.12E+00,1.00E+00
3.62E-01,1.10E+00,9.20E-01
3.64E-01,1.12E+00,9.60E-01
3.66E-01,1.06E+00,8.80E-01
3.68E-01,1.06E+00,9.20E-01
3.70E-01,1.02E+00,8.00E-01
3.72E-01,1.04E+00,8.00E-01
3.74E-01,1.00E+00,8.80E-01
3.76E-01,1.02E+00,8.00E-01
3.78E-01,9.60E-01,7.60E-01
3.80E-01,9.80E-01,7.60E-01
3.82E-01,9.20E-01,6.80E-01
3.84E-01,9.40E-01,7.20E-01
3.86E-01,8.80E-01,6.40E-01
3.88E-01,9.00E-01,6.80E-01
3.90E-01,8.60E-01,6.00E-01
3.92E-01,8.60E-01,6.40E-01
3.94E-01,8.20E-01,5.60E-01
3.96E-01,8.40E-01,5.60E-01
3.98E-01,7.80E-01,5.20E-01
4.00E-01,7.80E-01,5.60E-01
4.02E-01,7.20E-01,4.80E-01
4.04E-01,7.40E-01,4.80E-01
4.06E-01,7.00E-01,4.40E-01
4.08E-01,7.00E-01,4.80E-01
4.10E-01,6.60E-01,4.00E-01
4.12E-01,6.80E-01,4.00E-01
4.14E-01,6.40E-01,3.20E-01
4.16E-01,6.60E-01,3.20E-01
4.18E-01,6.00E-01,3.60E-01
4.20E-01,6.00E-01,3.20E-01
4.22E-01,5.80E-01,2.40E-01
4.24E-01,5.80E-01,2.80E-01
4.26E-01,5.20E-01,2.00E-01
4.28E-01,5.20E-01,2.40E-01
4.30E-01,5.00E-01,1.60E-01
4.32E-01,5.00E-01,2.00E-01
4.34E-01,4.60E-01,1.20E-01
4.36E-01,4.60E-01,1.20E-01
4.38E-01,4.20E-01,8.00E-02
4.40E-01,4.40E-01,8.00E-02
4.42E-01,3.80E-01,4.00E-02
4.44E-01,3.80E-01,0.00E+00
4.46E-01,3.40E-01,4.00E-02
4.48E-01,3.60E-01,0.00E+00
4.50E-01,3.00E-01,-4.00E-02
4.52E-01,3.00E-01,0.00E+00
4.54E-01,2.80E-01,-1.20E-01
4.56E-01,2.80E-01,-8.00E-02
4.58E-01,2.40E-01,-1.60E-01
4.60E-01,2.60E-01,-1.20E-01
4.62E-01,2.00E-01,-2.00E-01
4.64E-01,2.20E-01,-1.60E-01
4.66E-01,1.80E-01,-2.40E-01
4.68E-01,1.80E-01,-2.00E-01
4.70E-01,1.40E-01,-2.80E-01
4.72E-01,1.40E-01,-2.40E-01
4.74E-01,1.00E-01,-3.20E-01
4.76E-01,1.00E-01,-3.20E-01
4.78E-01,6.00E-02,-3.60E-01
4.80E-01,6.00E-02,-3.20E-01
4.82E-01,2.00E-02,-4.00E-01
4.84E-01,4.00E-02,-3.60E-01
4.86E-01,-2.00E-02,-4.80E-01
4.88E-01,0.00E+00,-4.40E-01
4.90E-01,-4.00E-02,-5.20E-01
4.92E-01,-2.00E-02,-4.80E-01
4.94E-01,-1.00E-01,-5.60E-01
4.96E-01,-6.00E-02,-5.20E-01
4.98E-01,-1.20E-01,-6.00E-01
5.00E-01,-1.00E-01,-5.60E-01
5.02E-01,-1.40E-01,-6.40E-01
5.04E-01,-1.40E-01,-6.00E-01
5.06E-01,-1.80E-01,-6.80E-01
5.08E-01,-1.80E-01,-6.40E-01
5.10E-01,-2.20E-01,-7.20E-01
5.12E-01,-2.20E-01,-6.80E-01
5.14E-01,-2.60E-01,-8.00E-01
5.16E-01,-2.60E-01,-8.00E-01
5.18E-01,-3.00E-01,-7.20E-01
5.20E-01,-3.00E-01,-8.40E-01
5.22E-01,-2.60E-01,-7.60E-01
5.24E-01,-2.60E-01,-8.00E-01
5.26E-01,-2.20E-01,-7.20E-01
5.28E-01,-2.40E-01,-6.80E-01
5.30E-01,-2.00E-01,-7.20E-01
5.32E-01,-2.00E-01,-6.80E-01
5.34E-01,-1.40E-01,-6.00E-01
5.36E-01,-1.60E-01,-6.40E-01
5.38E-01,-1.20E-01,-6.00E-01
5.40E-01,-1.20E-01,-6.00E-01
5.42E-01,-1.00E-01,-5.60E-01
5.44E-01,-1.00E-01,-5.60E-01
5.46E-01,-2.00E-02,-4.80E-01
5.48E-01,-6.00E-02,-4.80E-01
5.50E-01,-2.00E-02,-5.20E-01
5.52E-01,-2.00E-02,-4.80E-01
5.54E-01,4.00E-02,-4.00E-01
5.56E-01,2.00E-02,-4.00E-01
5.58E-01,6.00E-02,-3.60E-01
5.60E-01,6.00E-02,-3.60E-01
5.62E-01,1.00E-01,-3.20E-01
5.64E-01,8.00E-02,-3.20E-01
5.66E-01,1.40E-01,-2.80E-01
5.68E-01,1.20E-01,-2.80E-01
5.70E-01,1.60E-01,-2.40E-01
5.72E-01,1.40E-01,-2.80E-01
5.74E-01,2.20E-01,-1.60E-01
5.76E-01,1.80E-01,-2.00E-01
5.78E-01,2.20E-01,-1.20E-01
5.80E-01,2.20E-01,-1.60E-01
5.82E-01,2.80E-01,-8.00E-02
5.84E-01,2.60E-01,-1.20E-01
5.86E-01,3.00E-01,-4.00E-02
